question,option1,option2,option3,option4,bonne_reponse,explication
Quel est le seuil tensionnel retenu pour diagnostiquer une hypertension artérielle chez l’adulte ?,120/80 mmHg,130/85 mmHg,140/90 mmHg,160/100 mmHg,140/90 mmHg,L'hypertension est définie par une pression artérielle systolique ≥ 140 mmHg ou diastolique ≥ 90 mmHg.
Quelle est la première ligne de traitement pour un diabète de type 2 chez l’adulte non insulino-dépendant ?,Insuline rapide,Metformine,Glucagon,Diurétiques,Metformine,La Metformine est le traitement recommandé de première intention par la HAS.
Quel organe est principalement affecté par une cirrhose ?,Pancréas,Cœur,Foie,Estomac,Foie,La cirrhose est une atteinte chronique du foie entraînant une fibrose étendue.
Quel est le principal mode de transmission du COVID-19 ?,Contact avec la peau,Transmission par gouttelettes respiratoires,Morsure d'insecte,Consommation d'aliments crus,Transmission par gouttelettes respiratoires,"Le virus SARS-CoV-2 se transmet principalement par les gouttelettes respiratoires émises lorsqu'une personne infectée tousse, éternue ou parle."
Quel est le délai moyen d’apparition des symptômes après infection par le COVID-19 ?,Quelques minutes,12 heures,2 à 14 jours,1 mois,2 à 14 jours,"La période d'incubation du COVID-19 varie entre 2 et 14 jours, avec une moyenne de 5 à 6 jours."
Quel symptôme n’est pas typiquement associé au COVID-19 ?,Fièvre,Toux sèche,Perte de l’odorat,Éruption cutanée aiguë,Éruption cutanée aiguë,"Les symptômes typiques sont la fièvre, la toux, la fatigue et la perte de goût ou d’odorat. Les éruptions cutanées ne sont pas fréquentes et ne constituent pas un critère de diagnostic principal."
Quel test est utilisé pour détecter une infection active au COVID-19 ?,Test sérologique,Scanner thoracique,Test PCR,Test d’effort,Test PCR,"Le test PCR détecte le matériel génétique du virus dans les prélèvements nasopharyngés, ce qui permet de confirmer une infection en cours."
Quelle est la principale mesure de prévention contre le COVID-19 ?,Port de lunettes de soleil,Port du masque,Éviter de boire de l’eau froide,Faire du sport,Port du masque,"Le port du masque, associé à la distanciation physique et au lavage des mains, est l'une des mesures les plus efficaces pour réduire la transmission."
Quel groupe de population est le plus à risque de formes graves de COVID-19 ?,Enfants en bas âge,Jeunes adultes,Personnes âgées et immunodéprimées,Femmes enceintes,Personnes âgées et immunodéprimées,"Les personnes âgées, celles souffrant de maladies chroniques ou ayant un système immunitaire affaibli sont les plus exposées aux formes graves de la maladie."
Quel est le nom du virus responsable du COVID-19 ?,Influenza H1N1,SARS-CoV-2,Coronavirus OC43,Ebola,SARS-CoV-2,"Le virus à l’origine du COVID-19 s’appelle SARS-CoV-2, un coronavirus apparu pour la première fois en Chine fin 2019."
Quelle est l’utilité de la vaccination contre le COVID-19 ?,Empêcher totalement la contamination,Réduire la gravité de la maladie et la transmission,Rendre le virus inactif,Remplacer le port du masque,Réduire la gravité de la maladie et la transmission,La vaccination diminue significativement les formes graves et réduit la transmission même si elle n'empêche pas totalement l'infection.
Quel organe est principalement affecté par le COVID-19 ?,Reins,Cœur,Poumons,Foie,Poumons,"Le COVID-19 est une maladie respiratoire dont les symptômes affectent principalement les poumons, causant des difficultés respiratoires dans les cas graves."
Quel terme désigne la propagation mondiale d’une maladie comme le COVID-19 ?,Épidémie,Pandémie,Endémie,Épizootie,Pandémie,"Une pandémie est une épidémie qui s’étend sur une très large zone géographique, voire sur l’ensemble du globe, comme cela a été le cas pour le COVID-19."
